Date,Time,Lat,Long,Alt,DIN2,SSID,WIFI,INT,Registration
06/10/2025,14:37:00,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:37:10,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:37:20,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:37:31,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:37:41,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:37:51,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:38:01,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:38:11,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:38:21,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:38:31,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:38:41,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:38:51,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:39:01,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:39:11,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:39:21,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:39:32,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:39:42,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:39:52,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:40:02,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:40:12,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:40:22,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:40:32,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:40:42,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:40:52,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:41:02,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:41:12,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:41:22,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:41:32,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:41:43,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:41:53,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:42:03,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:42:13,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:42:23,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:42:33,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:42:43,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:42:53,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:43:03,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:43:13,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:43:23,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:43:33,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:43:44,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:43:54,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:44:04,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:44:14,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:44:24,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:44:34,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:44:44,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:44:54,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:45:04,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:45:14,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:45:24,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:45:34,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:45:44,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:45:55,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:46:05,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:46:15,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:46:25,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:46:35,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:46:45,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:46:55,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:47:05,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:47:15,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:47:25,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:47:35,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:47:45,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:47:56,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:48:06,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:48:16,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:48:26,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:48:36,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:48:46,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:48:56,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:49:06,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:49:16,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:49:26,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:49:36,,,,,SDL-Maintenance,1,0,SDL-Maintenance
